SimTime	Sender	Receiver	Type	Details
302118	node-4	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302118	node-5	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-4	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-5	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-4	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-5	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-5	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-5	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-4	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302161	node-4	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
352261	node-1	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@185d8b6
352261	node-1	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@185d8b6
352261	node-1	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@185d8b6
352261	node-1	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@185d8b6
352261	node-1	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@185d8b6
352361	node-2	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@67784306
352375	node-2	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@67784306
352375	node-2	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@67784306
352375	node-2	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@67784306
352375	node-2	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@67784306
352461	node-3	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@335eadca
352490	node-3	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@335eadca
352490	node-3	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@335eadca
352490	node-3	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@335eadca
352490	node-3	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@335eadca
