SimTime,NodeID,OldState,NewState
503534,node-5,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
503534,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
503534,node-5,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
503577,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
503577,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
503577,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
553677,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
553777,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
553877,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
553906,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
553906,node-5,WAITING_VALIDATE_HASH,VALIDATE_HASH
553906,node-4,VALIDATE_HASH,COMPLETED
553906,node-5,VALIDATE_HASH,COMPLETED
553949,node-1,VALIDATE_HASH,COMPLETED
553949,node-2,VALIDATE_HASH,COMPLETED
553949,node-3,VALIDATE_HASH,COMPLETED
604049,node-1,COMPLETED,WAITING
604149,node-2,COMPLETED,WAITING
604249,node-3,COMPLETED,WAITING
604306,node-4,COMPLETED,WAITING
604406,node-5,COMPLETED,WAITING
654149,node-1,WAITING,INITIATED
654349,node-2,WAITING,INITIATED
654549,node-3,WAITING,INITIATED
654578,node-4,WAITING,INITIATED
654578,node-5,WAITING,INITIATED
654578,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
654578,node-5,INITIATED,WAITING_VALIDATE_SUBMISSIONS
654621,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
654621,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
654621,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
704721,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
704821,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
704921,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
704950,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
704950,node-5,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
704950,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
